name,date,slice_s_idx,slice_e_idx,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio
1569592_3_19ch1,220719,1569592,1569601,152.98057730091423,114.0175425099138,134.53624047073708,4300.0,328.9949493661166,2.003088520572853,ch1,0,0,0,2.7723296055199813
1569592_4_19ch1,220719,1569592,1569603,135.02882147896293,125.29964086141668,134.1640786499874,4100.0,332.4264068711929,2.1448519008386864,ch1,0,0,0,2.372856766158195
2280411_1_19ch1,220719,2280411,2280425,269.86958896737656,260.768096208106,273.1300056749533,24800.0,850.1219330881975,2.319000793981272,ch1,0,0,0,1.899933469978209
2280411_2_19ch1,220719,2280411,2280422,137.72730248781343,117.04699910719626,126.49110640673518,3900.0,281.4213562373095,1.6159935845562563,ch1,0,0,0,2.8657000135184703
266793_1_20ch1,220720,266793,266812,250.75701351363,264.76404589747455,274.5906043549196,32600.0,1048.7615433949868,2.6848871968806,ch1,0,0,0,1.2799282718268272
266793_2_20ch1,220720,266793,266801,113.31960253781348,100.0,108.16653826391968,2800.0,218.63961030678928,1.3585943178397983,ch1,0,0,0,2.7211859554182136
429550_1_20ch1,220720,429550,429562,185.6301068599751,174.6424919657298,186.81541692269408,12700.0,542.8427124746189,1.8464367645845865,ch1,0,0,0,1.971559265213816
429550_4_20ch1,220720,429550,429573,395.068892323544,389.48684188300894,398.2461550347976,59600.0,1281.8986283848346,2.194073853009839,ch1,0,13,0,1.8064435402502357
509240_1_20ch1,220720,509240,509249,139.4043597050449,120.41594578792296,128.06248474865697,5200.0,321.06601717798213,1.577522178194553,ch1,0,0,0,2.353132177863813
509240_2_20ch1,220720,509240,509251,138.55304358489894,130.384048104053,144.22205101855957,5500.0,341.06601717798213,1.6830783980152946,ch1,0,0,0,1.481964708533921
1087719_1_20ch1,220720,1087719,1087726,160.47548009775966,139.2838827718412,148.66068747318505,4600.0,341.4213562373095,2.01657171163965,ch1,0,0,0,2.778526054053165
1087719_5_20ch1,220720,1087719,1087732,212.5153452742393,211.8962010041709,221.35943621178652,22300.0,690.416305603426,1.7010119008930418,ch1,0,0,0,1.5171269959631484
