name,date,slice_s_idx,slice_e_idx,start_time,end_time,ellipse_d_max,Euclidean_d_max,Feret_d_max,area,perimeter,circularity,probe,first_diode_trunc,last_diode_trunc,image_trunc,aspect_ratio,wind_w,pres,alt,temp,LWC,IWC
623640_6_23ch0,220723,623640,623654,00:38.3,00:38.3,207.0470729,188.6796226,208.0865205,12000,652.8427125,2.826350452,ch0,0,0,0,2.024103484,16.99597,486.319,6135.8784,266.4537,6.50E-05,0.3764184
1234910_1_23ch0,220723,1234910,1234929,08:37.8,08:37.8,239.8745134,261.7250466,269.0724809,22000,966.9848481,3.382258472,ch0,18,0,0,1.375905919,25.059624,505.89426,5826.695,268.29187,0.015434481,0.5006366
1234910_4_23ch0,220723,1234910,1234922,08:37.8,08:37.8,142.5541691,121.6552506,131.5294644,3700,303.137085,1.976362259,ch0,0,0,0,2.790936428,25.059624,505.89426,5826.695,268.29187,0.015434481,0.5006366
1549760_1_23ch0,220723,1549760,1549779,12:52.4,12:52.4,214.2897273,196.468827,208.8061302,18500,628.7005769,1.700223933,ch0,15,0,0,1.707125755,10.75186,515.7535,5675.882,269.57288,0.007359407,0.2607888
1549760_2_23ch0,220723,1549760,1549772,12:52.4,12:52.4,119.3109605,120,130,4500,278.9949494,1.376481266,ch0,0,0,0,2.243416242,10.75186,515.7535,5675.882,269.57288,0.007359407,0.2607888
1768624_1_23ch0,220723,1768624,1768655,17:04.5,17:04.5,354.3840874,355.1056181,363.5931793,52400,1269.116882,2.44603176,ch0,0,0,0,1.735782898,-1.067603,528.83026,5476.711,270.78983,0.009242042,0.45107073
1768624_2_23ch0,220723,1768624,1768637,17:04.5,17:04.5,158.0354769,131.5294644,145.6021978,5500,338.9949494,1.66270002,ch0,0,0,0,3.059866477,-1.067603,528.83026,5476.711,270.78983,0.009242042,0.45107073
1877822_1_23ch0,220723,1877822,1877832,17:12.0,17:12.0,117.7774873,111.8033989,120.8304597,3400,258.9949494,1.569978876,ch0,0,0,0,2.624685934,-0.38862938,530.0311,5455.2056,270.1545,0.014982444,0.62380075
1877822_2_23ch0,220723,1877822,1877839,17:12.0,17:12.0,239.6609526,237.6972865,250,27800,906.3351365,2.351380834,ch0,0,0,0,1.389894003,-0.38862938,530.0311,5455.2056,270.1545,0.014982444,0.62380075
1911595_2_23ch0,220723,1911595,1911649,17:15.1,17:15.1,1334.239023,1237.94184,1249.519908,290300,4276.46753,5.013181841,ch0,0,14,0,3.103840664,-0.2088441,529.5275,5461.6865,270.23108,0.021307362,0.19952422
